Date,Open,High,Low,Close,Volume,Adj Close
2012-09-27,12.64,13.26,12.63,13.03,21538700,13.03
2012-09-25,12.88,12.88,12.70,12.74,9882500,12.74
2012-09-24,12.82,13.00,12.59,12.91,17905600,12.91
2012-09-21,13.00,13.03,12.83,12.88,15751200,12.88
2012-09-20,13.31,13.31,13.00,13.01,18134600,13.01
2012-09-19,13.52,13.57,13.21,13.34,18434600,13.34
2012-09-18,13.68,13.68,13.49,13.51,12250100,13.51
2012-09-17,14.02,14.02,13.68,13.71,11471400,13.71
2012-09-14,13.98,14.14,13.86,14.05,15327200,14.05
2012-09-13,13.96,14.03,13.89,13.89,8244200,13.89
2012-09-12,14.08,14.15,13.86,13.98,12245200,13.98
2012-09-11,14.01,14.05,13.91,14.02,8743600,14.02
2012-09-10,14.20,14.23,13.95,14.07,23677700,14.07
2012-09-07,13.80,14.40,13.76,14.21,28173700,14.21
2012-09-06,13.63,13.75,13.56,13.73,10356000,13.73
2012-09-05,13.85,13.87,13.54,13.62,17219000,13.62
2012-09-03,14.22,14.30,14.18,14.21,10112900,14.21
2012-08-31,14.24,14.43,14.19,14.19,8561900,14.19
2012-08-30,14.16,14.37,14.15,14.28,8987300,14.28
2012-08-29,14.30,14.32,14.19,14.28,6948300,14.28
2012-08-28,14.13,14.46,14.03,14.37,15910800,14.37
2012-08-27,14.36,14.37,14.05,14.11,16775900,14.11
2012-08-24,14.59,14.60,14.36,14.37,18817900,14.37
2012-08-23,14.68,14.74,14.54,14.62,13128900,14.62
2012-08-22,14.80,14.81,14.61,14.67,12518200,14.67
2012-08-21,14.85,14.88,14.74,14.79,13021900,14.79
2012-08-20,14.99,15.00,14.73,14.85,15579500,14.85
2012-08-17,14.91,15.10,14.88,15.06,10399600,15.06
2012-08-16,15.03,15.04,14.86,14.91,14681500,14.91
2012-08-15,15.16,15.24,15.01,15.10,11614200,15.10
2012-08-14,15.03,15.30,14.94,15.26,18037000,15.26
2012-08-10,15.07,15.17,15.07,15.08,10549800,15.08
2012-08-09,15.03,15.04,14.91,15.04,8575000,15.04
2012-08-08,14.95,15.05,14.94,15.04,11754100,15.04
2012-08-07,15.09,15.15,14.94,14.96,15982500,14.96
