ss600000,浦发银行
ss600004,白云机场
ss600005,武钢股份
ss600006,东风汽车
ss600007,中国国贸
ss600008,首创股份
ss600009,上海机场
ss600010,包钢股份
ss600011,华能国际
ss600012,皖通高速
ss600015,华夏银行
ss600016,民生银行
ss600017,日照港
ss600018,上港集团
ss600019,宝钢股份
ss600020,中原高速
ss600021,上海电力
ss600022,济南钢铁
ss600026,中海发展
ss600027,华电国际
ss600028,中国石化
ss600029,南方航空
ss600030,中信证券
ss600031,三一重工
ss600033,福建高速
ss600035,楚天高速
ss600036,招商银行
ss600037,歌华有线
ss600038,哈飞股份
ss600039,四川路桥
ss600048,保利地产
ss600050,中国联通
ss600051,宁波联合
ss600052,浙江广厦
ss600053,中江地产
ss600054,黄山旅游
ss600055,万东医疗
ss600056,中国医药
ss600058,五矿发展
ss600059,古越龙山
ss600060,海信电器
ss600061,中纺投资
ss600062,双鹤药业
ss600063,皖维高新
ss600064,南京高科
ss600066,宇通客车
ss600067,冠城大通
ss600068,葛洲坝
ss600069,银鸽投资
ss600070,浙江富润
ss600071,凤凰光学
ss600072,中船股份
ss600073,上海梅林
ss600074,中达股份
ss600075,新疆天业
ss600076,ST华光
ss600077,*ST百科
ss600078,澄星股份
ss600079,人福医药
ss600080,*ST金花
ss600081,东风科技
ss600082,海泰发展
ss600083,*ST博信
ss600084,*ST中葡
ss600085,同仁堂
ss600086,东方金钰
ss600087,长航油运
ss600088,中视传媒
ss600089,特变电工
ss600090,啤酒花
ss600091,*ST明科
ss600093,禾嘉股份
ss600095,哈高科
ss600096,云天化
ss600097,开创国际
ss600098,广州控股
ss600099,林海股份
ss600100,同方股份
ss600101,明星电力
ss600102,莱钢股份
ss600103,青山纸业
ss600104,上海汽车
ss600105,永鼎股份
ss600106,重庆路桥
ss600107,美尔雅
ss600108,亚盛集团
ss600109,国金证券
ss600110,中科英华
ss600111,包钢稀土
ss600112,长征电气
ss600113,浙江东日
ss600114,东睦股份
ss600115,东方航空
ss600116,三峡水利
ss600117,西宁特钢
ss600118,中国卫星
ss600119,长江投资
ss600120,浙江东方
ss600121,郑州煤电
ss600122,宏图高科
ss600123,兰花科创
ss600125,铁龙物流
ss600126,杭钢股份
ss600127,金健米业
ss600128,弘业股份
ss600129,太极集团
ss600130,ST波导
ss600131,*ST岷电
ss600132,重庆啤酒
ss600133,东湖高新
ss600135,乐凯胶片
ss600136,道博股份
ss600137,浪莎股份
ss600138,中青旅
ss600139,西部资源
ss600141,兴发集团
ss600143,金发科技
ss600145,*ST四维
ss600146,大元股份
ss600148,长春一东
ss600149,*ST建通
ss600150,中国船舶
ss600151,航天机电
ss600152,维科精华
ss600153,建发股份
ss600155,*ST宝硕
ss600156,华升股份
ss600157,永泰能源
ss600158,中体产业
ss600159,大龙地产
ss600160,巨化股份
ss600161,天坛生物
ss600162,香江控股
ss600163,福建南纸
ss600165,宁夏恒力
ss600166,福田汽车
ss600167,联美控股
ss600168,武汉控股
ss600169,太原重工
ss600170,上海建工
ss600171,上海贝岭
ss600172,黄河旋风
ss600173,卧龙地产
ss600175,美都控股
ss600176,中国玻纤
ss600177,雅戈尔
ss600178,东安动力
ss600179,*ST黑化
ss600180,*ST九发
ss600182,S佳通
ss600183,生益科技
ss600184,光电股份
ss600185,格力地产
ss600186,莲花味精
ss600187,国中水务
ss600188,兖州煤业
ss600189,吉林森工
ss600190,锦州港
ss600191,华资实业
ss600192,长城电工
ss600193,创兴置业
ss600195,中牧股份
ss600196,复星医药
ss600197,伊力特
ss600198,大唐电信
ss600199,金种子酒
ss600200,江苏吴中
ss600201,金宇集团
ss600202,哈空调
ss600203,*ST福日
ss600206,有研硅股
ss600207,ST安彩
ss600208,新湖中宝
ss600209,*ST罗顿
ss600210,紫江企业
ss600211,西藏药业
ss600212,江泉实业
ss600213,亚星客车
ss600215,长春经开
ss600216,浙江医药
ss600217,*ST秦岭
ss600218,全柴动力
ss600219,南山铝业
ss600220,江苏阳光
ss600221,海南航空
ss600222,太龙药业
ss600223,鲁商置业
ss600225,天津松江
ss600226,升华拜克
ss600227,赤天化
ss600228,昌九生化
ss600229,青岛碱业
ss600230,沧州大化
ss600231,凌钢股份
ss600232,金鹰股份
ss600233,大杨创世
ss600234,ST天龙
